rcrfr_id,rcrfr_nm,ctprv_nm,rcrfr_sctn_nm,max_accpn_cnt,mnagn_nm,provd_instt_cd,provd_instt_nm,besl_tm_xcrd,besl_tm_ycrd,wgs84_lltd_xcrd,wgs84_lltd_ycrd,examin_realm_se_code_nm,spcs_lcnm,spcs_scncenm,exam_yr
91,양촌자연휴양림,충청남도,공유림,151,충청남도 논산시청,4540000,충청남도 논산시,332543.4127,395674.9084,127.2480989,36.15911513,포유류,청설모,Sciurus vulgaris Lin,2005
91,양촌자연휴양림,충청남도,공유림,151,충청남도 논산시청,4540000,충청남도 논산시,332543.4127,395674.9084,127.2480989,36.15911513,포유류,다람쥐,Tamias sibiricus (La,2005
92,천보산자연휴양림,경기도,공유림,156,포천시 산림과,5600000,경기도 포천시,322641,584985,127.118572,37.864168,포유류,족제비,Mustela sibirica Pal,2015
93,운악산자연휴양림,경기도,국유림,200,국립자연휴양림관리소,5600000,경기도 포천시,338847.5517,587052.2069,127.3025745,37.88402762,포유류,족제비,Mustela sibirica Pal,2015
94,바라산자연휴양림,경기도,공유림,470,의왕도시공사,4030000,경기도 의왕시,313929,531187.6667,127.0259167,37.37870533,포유류,고양이,Felis catus,2005
95,하추자연휴양림,강원도,공유림,108,강원도 인제군 산림자원과,4330000,강원도 인제군,428452,602864,128.321864,38.02812,포유류,개,Canis familialis,2008
95,하추자연휴양림,강원도,공유림,108,강원도 인제군 산림자원과,4330000,강원도 인제군,428452,602864,128.321864,38.02812,포유류,너구리,Nyctereutes procyono,2008
95,하추자연휴양림,강원도,공유림,108,강원도 인제군 산림자원과,4330000,강원도 인제군,428452,602864,128.321864,38.02812,포유류,고라니,Hydropotes inermis S,2008
95,하추자연휴양림,강원도,공유림,108,강원도 인제군 산림자원과,4330000,강원도 인제군,428452,602864,128.321864,38.02812,포유류,멧밭쥐,Micromys minutus (Pa,2008
96,성주산자연휴양림,충청남도,공유림,2000,충청남도 보령시 산림공원과,4510000,충청남도 보령시,280256.5,416793,126.6638475,36.344336,포유류,너구리,Nyctereutes procyono,2013
97,금산산림문화타운,충청남도,공유림,3000,충청남도 금산군청,4550000,충청남도 금산군,343370.5714,385369.5714,127.3691729,36.06693243,포유류,청설모,Sciurus vulgaris Lin,2005
97,금산산림문화타운,충청남도,공유림,3000,충청남도 금산군청,4550000,충청남도 금산군,343370.5714,385369.5714,127.3691729,36.06693243,포유류,다람쥐,Tamias sibiricus (La,2005
98,진산자연휴양림,충청남도,사유림,350,유숭열,4550000,충청남도 금산군,341499.9,392237.9,127.347896,36.1287216,포유류,청설모,Sciurus vulgaris Lin,2005
98,진산자연휴양림,충청남도,사유림,350,유숭열,4550000,충청남도 금산군,341499.9,392237.9,127.347896,36.1287216,포유류,다람쥐,Tamias sibiricus (La,2005
99,서대산약용자연휴양림,충청남도,사유림,0,김영식,4550000,충청남도 금산군,357481.6111,402685.5556,127.5248774,36.2237175,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
100,함평자연생태공원,전라남도,국유림,0,함평군산림공원사업소,4960000,전라남도 함평군,263739.75,282820.25,126.502676,35.13498425,포유류,청설모,Sciurus vulgaris Lin,2012
101,제암산자연휴양림,전라남도,국유림,3000,전라남도 보성군청,4890000,전라남도 보성군,307494.2143,233528.2857,126.9881776,34.69567907,포유류,족제비,Mustela sibirica Pal,2013
113,좌구산자연휴양림,충청북도,공유림,250,증평군청,6430000,충청북도,368953.8571,456344.8571,127.6503209,36.70774986,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
114,생거진천자연휴양림,충청북도,공유림,129,진천군청 산림축산과,6430000,충청북도,346073.8333,480167,127.3925453,36.921393,포유류,노루,Capreolus pygargus (,2015
115,성불산자연휴양림,충청북도,공유림,188,괴산군시설관리사업소,6430000,충청북도,386444.7143,467425.8571,127.8458921,36.808026,포유류,멧돼지,"Sus scrofa Linnaeus,",2015
116,수레의산자연휴양림,충청북도,공유림,180,충청북도 음성군,6430000,충청북도,368682.6,493062.6,127.6457604,37.0386294,포유류,등줄쥐,Apodemus agrarius (P,2015
